"FloraStatus","Was","Now","Group","Family","Acronym","scientific_name","FloraOfOregonPage","WebConcept"
"Fully described","Accepted","Synonym of Setaria pumila","Monocotyledons","Poaceae","SETPUMPAL","Setaria pumila ssp. pallidefusca","Volume 1, Page 478",4940
"Fully described","Accepted","Synonym of Setaria pumila","Monocotyledons","Poaceae","SETPUMPUM","Setaria pumila ssp. pumila","Volume 1, Page 478",4940
"Fully described","Accepted","Synonym of Setaria viridis","Monocotyledons","Poaceae","SETVIRVIR","Setaria viridis var. viridis","Volume 1, Page 478",3796
"Fully described","Accepted","Synonym of Sporobolus alterniflorus","Monocotyledons","Poaceae","SPAALT","Spartina alterniflora","Volume 1, Page 480",12666
"Fully described","Accepted","Synonym of Sporobolus pumilus","Monocotyledons","Poaceae","SPAPAT","Spartina patens","Volume 1, Page 481",3943
"Fully described","Accepted","Synonym of Sporobolus michauxianus","Monocotyledons","Poaceae","SPAPEC","Spartina pectinata","Volume 1, Page 481",3944
"Fully described","Accepted","Synonym of Thinopyrum obtusiflorum","Monocotyledons","Poaceae","THIPON","Thinopyrum ponticum","Volume 1, Page 485",56
"Fully described","Accepted","Synonym of Graphephorum canescens","Monocotyledons","Poaceae","TRICAN","Trisetum canescens","Volume 1, Page 487",4122
"Fully described","Accepted","Synonym of Graphephorum cernuum","Monocotyledons","Poaceae","TRICER","Trisetum cernuum","Volume 1, Page 487",4124
"Fully described","Accepted","Synonym of Koeleria spicata","Monocotyledons","Poaceae","TRISPI","Trisetum spicatum","Volume 1, Page 488",4199
"Fully described","Accepted","Synonym of Graphephorum wolfii","Monocotyledons","Poaceae","TRIWOL","Trisetum wolfii","Volume 1, Page 488",4210
"Fully described","Accepted","Synonym of Festuca bromoides","Monocotyledons","Poaceae","VULBRO","Vulpia bromoides","Volume 1, Page 490",4339
"Fully described","Accepted","Synonym of Festuca microstachys","Monocotyledons","Poaceae","VULMIC","Vulpia microstachys","Volume 1, Page 491",4340
"Fully described","Accepted","Synonym of Festuca myuros","Monocotyledons","Poaceae","VULMYU","Vulpia myuros","Volume 1, Page 491",4342
"Fully described","Accepted","Synonym of Festuca myuros","Monocotyledons","Poaceae","VULOCT","Vulpia octoflora","Volume 1, Page 491",4342
"Fully described","Accepted","Synonym of Struthiopteris spicant","Pteridophytes","Blechnaceae","BLESPI","Blechnum spicant","Volume 1, Page 70",613
"Fully described","Accepted","Misapplied to Isoetes echinospora ssp. muricata","Pteridophytes","Isoetaceae","ISOTEN","Isoetes tenella","Volume 1, Page 81",2149
"Fully described","Accepted","Misapplied to Botrychium neolunaria","Pteridophytes","Ophioglossaceae","BOTLUN","Botrychium lunaria","Volume 1, Page 90",625
"Fully described","Accepted","Synonym of Myriopteris gracilis","Pteridophytes","Pteridaceae","CHEFEE","Cheilanthes feei","Volume 1, Page 99",1065
"Fully described","Accepted","Synonym of Myriopteris gracillima","Pteridophytes","Pteridaceae","CHEGRA","Cheilanthes gracillima","Volume 1, Page 99",1072
"Fully described","Accepted","Synonym of Myriopteris intertexta","Pteridophytes","Pteridaceae","CHEINT","Cheilanthes intertexta","Volume 1, Page 99",1076
"Genus Note","Accepted","illegitimate name replaced with Sagina alexandrae","Dicotyledons","Caryophyllaceae","SAGSUB","Sagina subulata","Volume 2, Page 563",4769
"Fully described","Accepted (Terminal species)","Accepted (Bare species), ssp. perenne and ssp.  multiflorum in Oregon","Monocotyledons","Poaceae","LOLPER","Lolium perenne","Volume 1, Page 429",2468
