"Group","Family","Scientific_name","Name_Status","Accepted_Name","FloraStatus","FloraPage","ConceptNum","Acronym","Scientific_name_auths"
"Dicotyledons","Apiaceae","Angelica genuflexa","Accepted","Angelica genuflexa","Fully described","vol2, pg91",211,"ANGGEN","Angelica genuflexa Nutt. "
"Dicotyledons","Apiaceae","Angelica hendersonii","Accepted","Angelica hendersonii","Fully described","vol2, pg91",213,"ANGHEN","Angelica hendersonii J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Angelica lucida","Accepted","Angelica lucida","Fully described","vol2, pg91",219,"ANGLUC","Angelica lucida L. "
"Dicotyledons","Apiaceae","Angelica tomentosa","Accepted","Angelica tomentosa","Fully described","vol2, pg91",245,"ANGTOM","Angelica tomentosa S. Watson "
"Dicotyledons","Apiaceae","Berula erecta","Accepted","Berula erecta","Fully described","vol2, pg93",588,"BERERE","Berula erecta (Huds.) Coville "
"Dicotyledons","Apiaceae","Berula erecta var. incisa","Synonym","Berula erecta",,,588,"BEREREINC","Berula erecta (Huds.) Coville var. incisa (Torr.) Cronquist "
"Dicotyledons","Apiaceae","Berula incisa","Synonym","Berula erecta",,,588,"BERINC2","Berula incisa (Torr.) G.N. Jones "
"Dicotyledons","Apiaceae","Bupleurum americanum","Accepted","Bupleurum americanum","Fully described","vol2, pg93",689,"BUPAME","Bupleurum americanum J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Caucalis microcarpa","Synonym","Yabea microcarpa",,,871,"CAUMIC","Caucalis microcarpa Hook. & Arn. "
"Dicotyledons","Apiaceae","Cicuta bulbifera","Accepted","Cicuta bulbifera","Fully described","vol2, pg94",1126,"CICBUL","Cicuta bulbifera L. "
"Dicotyledons","Apiaceae","Cicuta douglasii","Accepted","Cicuta douglasii","Fully described","vol2, pg94",1130,"CICDOU","Cicuta douglasii (DC.) J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Cicuta maculata","Accepted","Cicuta maculata",,,9002,"CICMAC","Cicuta maculata L. "
"Dicotyledons","Apiaceae","Cicuta maculata var. angustifolia","Accepted","Cicuta maculata var. angustifolia","Fully described","vol2, pg94",1137,"CICMACANG","Cicuta maculata L. var. angustifolia Hook. "
"Dicotyledons","Apiaceae","Conioselinum chinense","Synonym","Conioselinum pacificum",,,1230,"CONCHI","Conioselinum chinense (L.) Britton, Sterns & Poggenb. "
"Dicotyledons","Apiaceae","Conioselinum gmelinii","Synonym","Conioselinum pacificum",,,1230,"CONGME","Conioselinum gmelinii (Cham. & Schltdl.) Steud. "
"Dicotyledons","Apiaceae","Conioselinum pacificum","Accepted","Conioselinum pacificum","Fully described","vol2, pg95",1230,"CONPAC","Conioselinum pacificum (S. Watson) J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Conioselinum scopulorum","Accepted","Conioselinum scopulorum","Fully described","vol2, pg95",4552,"CONSCO","Conioselinum scopulorum (A. Gray) J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Cymopterus acaulis","Synonym","Cymopterus glomeratus",,,1334,"CYMACA","Cymopterus acaulis (Pursh) Raf. "
"Dicotyledons","Apiaceae","Cymopterus acaulis var. acaulis","Synonym","Cymopterus glomeratus",,,1334,"CYMACAACA","Cymopterus acaulis (Pursh) Raf. var. acaulis "
"Dicotyledons","Apiaceae","Cymopterus acaulis var. greeleyorum","Synonym","Cymopterus glomeratus",,,1334,"CYMACAGRE","Cymopterus acaulis (Pursh) Raf. var. greeleyorum J.W. Grimes & P.L. Packard "
"Dicotyledons","Apiaceae","Cymopterus bipinnatus","Synonym","Cymopterus nivalis",,,4449,"CYMBIP","Cymopterus bipinnatus S. Watson "
"Dicotyledons","Apiaceae","Cymopterus corrugatus","Accepted","Cymopterus corrugatus","Fully described","vol2, pg97",1340,"CYMCOR","Cymopterus corrugatus M.E. Jones "
"Dicotyledons","Apiaceae","Cymopterus foeniculaceus","Synonym","Cymopterus terebinthinus var. foeniculaceus",,,1365,"CYMFOE","Cymopterus foeniculaceus Torr. & A. Gray "
"Dicotyledons","Apiaceae","Cymopterus glomeratus","Accepted","Cymopterus glomeratus","Fully described","vol2, pg97",1334,"CYMGLO","Cymopterus glomeratus (Nutt.) DC. "
"Dicotyledons","Apiaceae","Cymopterus ibapensis","Synonym","Cymopterus longipes var. ibapensis",,,1367,"CYMIBA","Cymopterus ibapensis M.E. Jones "
