Group,Family,Taxon,Taxonomic status,Accepted name for Taxon,Taxonomic note
Dicotyledons,Apiaceae,Lomatium nelsonianum,Synonym,Lomatium hallii,
Dicotyledons,Apiaceae,Lomatium nevadense,Accepted,,
Dicotyledons,Apiaceae,Lomatium nevadense var. nevadense,Accepted,,
Dicotyledons,Apiaceae,Lomatium nudicaule,Accepted,,
Dicotyledons,Apiaceae,Lomatium ochocense,Accepted,,
Dicotyledons,Apiaceae,Lomatium oreganum,Accepted,,
Dicotyledons,Apiaceae,Lomatium packardiae,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium papilioniferum,Accepted,,
Dicotyledons,Apiaceae,Lomatium pastorale,Accepted,,
Dicotyledons,Apiaceae,Lomatium peckianum,Accepted,,
Dicotyledons,Apiaceae,Lomatium piperi,Accepted,,
Dicotyledons,Apiaceae,Lomatium platycarpum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium ravenii,Accepted,,
Dicotyledons,Apiaceae,Lomatium ravenii var. paiutense,Accepted,,
Dicotyledons,Apiaceae,Lomatium robustius,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium rollinsii,Accepted,,
Dicotyledons,Apiaceae,Lomatium roseanum,Accepted,,
Dicotyledons,Apiaceae,Lomatium serpentinum,Accepted,,
Dicotyledons,Apiaceae,Lomatium simplex,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium simplex var. leptophyllum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium simplex var. simplex,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium suksdorfii,Accepted,,
Dicotyledons,Apiaceae,Lomatium tarantuloides,Synonym,Lomatium pastorale,
Dicotyledons,Apiaceae,Lomatium triternatum,Accepted,,
Dicotyledons,Apiaceae,Lomatium triternatum ssp. platycarpum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum ssp. triternatum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum var. alatum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum var. anomalum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum var. brevifolium,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum var. macrocarpum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium triternatum var. triternatum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium utriculatum,Accepted,,
Dicotyledons,Apiaceae,Lomatium utriculatum var. anthemifolium,Synonym,Lomatium utriculatum,
Dicotyledons,Apiaceae,Lomatium utriculatum var. glabrum,Synonym,Lomatium utriculatum,
Dicotyledons,Apiaceae,Lomatium utriculatum var. papillatum,Synonym,Lomatium vaginatum,
Dicotyledons,Apiaceae,Lomatium utriculatum var. utriculatum,Synonym,Lomatium utriculatum,
Dicotyledons,Apiaceae,Lomatium vaginatum,Accepted,,
Dicotyledons,Apiaceae,Lomatium watsonii,Accepted,,
Dicotyledons,Apiaceae,Myrrhis odorata,Accepted,,
Dicotyledons,Apiaceae,Oenanthe sarmentosa,Accepted,,
Dicotyledons,Apiaceae,Orogenia fusiformis,Accepted,,
Dicotyledons,Apiaceae,Orogenia linearifolia,Accepted,,
Dicotyledons,Apiaceae,Osmorhiza berteroi,Accepted,,
Dicotyledons,Apiaceae,Osmorhiza chilensis,Synonym,Osmorhiza berteroi,
Dicotyledons,Apiaceae,Osmorhiza depauperata,Accepted,,
Dicotyledons,Apiaceae,Osmorhiza obtusa,Synonym,Osmorhiza depauperata,
Dicotyledons,Apiaceae,Osmorhiza occidentalis,Accepted,,
Dicotyledons,Apiaceae,Osmorhiza purpurea,Accepted,,
Dicotyledons,Apiaceae,Oxypolis occidentalis,Accepted,,
Dicotyledons,Apiaceae,Pastinaca sativa,Accepted,,
Dicotyledons,Apiaceae,Perideridia bolanderi,Accepted,,
Dicotyledons,Apiaceae,Perideridia bolanderi ssp. bolanderi,Accepted,,
Dicotyledons,Apiaceae,Perideridia erythrorhiza,Accepted,,
Dicotyledons,Apiaceae,Perideridia gairdneri,Accepted,,
Dicotyledons,Apiaceae,Perideridia gairdneri ssp. borealis,Synonym,Perideridia gairdneri,
Dicotyledons,Apiaceae,Perideridia howellii,Accepted,,
Dicotyledons,Apiaceae,Perideridia lemmonii,Synonym,Perideridia gairdneri,
Dicotyledons,Apiaceae,Perideridia montana,Synonym,Perideridia gairdneri,
Dicotyledons,Apiaceae,Perideridia oregana,Accepted,,
Dicotyledons,Apiaceae,Petroselinum segetum,Accepted,,
Dicotyledons,Apiaceae,Pimpinella saxifraga,Accepted,,
