Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,FloraPage,ConceptNum,Acronym
Dicotyledons,Convolvulaceae,Calystegia sepium ssp. erratica,Accepted,Calystegia sepium ssp. erratica,,not naturalized,,,4637,CALSEPERR
Dicotyledons,Convolvulaceae,Calystegia silvatica,Accepted,Calystegia silvatica,Bare species,naturalized,,,12900,CALSIL
Dicotyledons,Convolvulaceae,Calystegia silvatica ssp. disjuncta,Accepted,Calystegia silvatica ssp. disjuncta,,naturalized,Fully described,"vol2, pg589",4971,CALSILDIS
Dicotyledons,Convolvulaceae,Calystegia soldanella,Accepted,Calystegia soldanella,,native,Fully described,"vol2, pg589",1239,CALSOL
Dicotyledons,Convolvulaceae,Convolvulus arvensis,Accepted,Convolvulus arvensis,,naturalized,Fully described,"vol2, pg589",1187,CONARV
Dicotyledons,Convolvulaceae,Convolvulus atriplicifolius,Synonym,Calystegia atriplicifolia,later homonym,,,,9227,CONATR
Dicotyledons,Convolvulaceae,Convolvulus nyctagineus,Synonym,Calystegia atriplicifolia ssp. atriplicifolia,,,,,1225,CONNYC
Dicotyledons,Convolvulaceae,Convolvulus occidentalis ssp. fruticetorum,Synonym,Calystegia occidentalis ssp. occidentalis,,,,,1233,CONOCCFRU
Dicotyledons,Convolvulaceae,Convolvulus polymorphus,Synonym,Calystegia occidentalis ssp. occidentalis,,,,,1233,CONPOL
Dicotyledons,Convolvulaceae,Convolvulus sepium,Synonym,Calystegia sepium ssp. angulata,in part,,,,4541,CONSEP7CALSEPANG
Dicotyledons,Convolvulaceae,Convolvulus sepium,Synonym,Calystegia silvatica ssp. disjuncta,in part,,,,4971,CONSEP7CALSILDIS
Dicotyledons,Convolvulaceae,Convolvulus sepium var. communis,Synonym,Calystegia silvatica ssp. disjuncta,in part,,,,4971,CONSEPCOM7CALSILDIS
Dicotyledons,Convolvulaceae,Convolvulus sepium var. communis,Synonym,Calystegia sepium ssp. angulata,in part,,,,4541,CONSEPCOM7CALSEPANG
Dicotyledons,Convolvulaceae,Convolvulus soldanella,Synonym,Calystegia soldanella,,,,,1239,CONSOL
Dicotyledons,Convolvulaceae,Cressa truxillensis,Accepted,Cressa truxillensis,,native,Fully described,"vol2, pg590",1317,CRETRU
Dicotyledons,Convolvulaceae,Cressa truxillensis var. vallicola,Synonym,Cressa truxillensis,,,,,1317,CRETRUVAL
Dicotyledons,Convolvulaceae,Cuscuta approximata,Accepted,Cuscuta approximata,Bare species,naturalized,,,14486,CUSAPP
Dicotyledons,Convolvulaceae,Cuscuta approximata var. approximata,Accepted,Cuscuta approximata var. approximata,,naturalized,Fully described,"vol2, pg591",1321,CUSAPPAPP
Dicotyledons,Convolvulaceae,Cuscuta approximata var. urceolata,Synonym,Cuscuta approximata var. approximata,,,,,1321,CUSAPPURC
